	CB10	CB11	CB12	CB13	CB2	CB3	CB4	CB5	CB6	CB7	CB8	CB9	taxonomy
ASV_88	0	0	0	34	0	8	55	134	175	14	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
ASV_89	0	0	185	234	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus;
ASV_90	0	0	0	0	0	2	16	16	371	6	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;ASF356;
ASV_91	25	63	0	0	0	0	0	0	35	0	195	87	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;;
ASV_92	21	140	0	0	0	0	0	0	0	236	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;
ASV_93	0	0	0	0	106	0	0	0	0	0	123	166	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
ASV_94	10	0	35	314	7	0	7	12	0	5	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;
ASV_95	0	0	0	258	0	15	0	34	52	31	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;
ASV_96	0	0	0	0	0	0	0	0	152	226	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;
ASV_97	0	0	31	334	0	0	0	0	0	0	0	0	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;
ASV_98	0	0	235	129	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;;
ASV_99	10	346	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-006;
ASV_100	0	0	27	316	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter;
ASV_101	0	0	0	215	0	0	0	0	52	65	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;
ASV_102	0	3	157	0	0	0	0	0	25	0	86	59	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;
ASV_103	0	0	0	0	0	9	16	213	0	81	10	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;;
ASV_104	0	0	172	155	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;;
ASV_105	0	0	0	0	0	74	14	194	44	0	0	0	Bacteria;Firmicutes;Clostridia;;;;
ASV_106	0	0	0	0	0	0	0	0	0	116	206	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;;
ASV_107	0	0	0	0	0	0	0	0	85	236	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter;
ASV_108	0	0	319	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Acidaminococcus;
ASV_109	0	0	0	0	0	5	26	268	13	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;
ASV_110	0	0	0	0	0	0	0	0	64	247	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;
ASV_111	23	0	110	0	42	0	0	0	0	0	131	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;
ASV_112	2	19	0	0	19	4	0	29	195	36	0	0	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;
ASV_113	0	0	0	0	0	0	0	0	0	47	193	50	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-008;
ASV_114	0	0	29	255	0	0	0	0	0	0	0	0	Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;
ASV_115	0	0	0	0	0	0	13	80	171	12	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-001;
ASV_116	24	19	38	0	0	0	0	0	109	0	51	34	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae;Butyricimonas;
ASV_117	0	0	272	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Megasphaera;
