	CB10_S1_L001	CB11_S1_L001	CB12_S1_L001	CB13_S1_L001	CB2_S1_L001	CB3_S1_L001	CB4_S1_L001	CB5_S1_L001	CB6_S1_L001	CB7_S1_L001	CB8_S1_L001	CB9_S1_L001
ASV_164	0	0	0	0	0	0	0	132	0	0	0	0
ASV_165	0	0	0	0	0	0	0	0	132	0	0	0
ASV_166	0	0	0	0	0	0	16	0	0	72	39	4
ASV_167	0	0	0	0	0	0	0	129	0	0	0	0
ASV_168	0	0	0	0	0	0	0	0	19	53	50	7
ASV_169	0	126	0	0	0	0	0	0	0	0	0	0
ASV_170	0	0	0	126	0	0	0	0	0	0	0	0
ASV_171	0	0	0	0	0	0	0	0	0	80	42	0
ASV_172	0	0	0	0	2	2	4	57	3	31	9	12
ASV_173	0	0	0	0	0	0	0	0	86	21	10	0
ASV_174	0	0	70	46	0	0	0	0	0	0	0	0
ASV_175	19	21	0	0	0	0	0	0	74	0	0	0
ASV_176	0	0	0	0	0	0	0	0	0	0	82	32
ASV_177	0	0	112	0	0	0	0	0	0	0	0	0
ASV_178	0	4	0	0	107	0	0	0	0	0	0	0
ASV_179	0	0	111	0	0	0	0	0	0	0	0	0
ASV_180	0	0	0	111	0	0	0	0	0	0	0	0
ASV_181	0	0	0	0	103	0	0	0	0	8	0	0
ASV_182	0	0	0	107	0	0	0	0	0	0	0	0
ASV_183	0	0	0	0	0	0	0	0	0	102	0	0
ASV_184	5	4	0	0	0	0	7	0	6	36	36	6
ASV_185	0	16	0	0	53	5	10	11	0	0	4	0
ASV_186	0	0	0	0	0	0	0	0	99	0	0	0
ASV_187	0	0	98	0	0	0	0	0	0	0	0	0
ASV_188	0	0	0	0	0	0	0	0	97	0	0	0
ASV_189	0	0	0	0	0	0	0	0	0	0	89	7
ASV_190	0	0	95	0	0	0	0	0	0	0	0	0
ASV_191	0	0	68	27	0	0	0	0	0	0	0	0
ASV_192	4	89	0	0	0	0	0	0	0	0	0	0
ASV_193	0	0	0	0	0	0	0	0	0	93	0	0
ASV_194	0	4	0	0	0	0	0	0	87	0	0	0
ASV_195	0	0	0	0	23	0	0	0	0	0	59	9
ASV_196	0	0	0	0	0	0	0	0	0	25	54	11
ASV_197	0	0	84	0	0	0	0	0	0	0	0	0
ASV_198	0	0	84	0	0	0	0	0	0	0	0	0
ASV_199	0	0	81	0	0	0	0	0	0	0	0	0
ASV_200	0	0	80	0	0	0	0	0	0	0	0	0
ASV_201	0	0	77	0	0	0	0	0	0	0	0	0
ASV_202	0	0	76	0	0	0	0	0	0	0	0	0
ASV_203	0	0	47	28	0	0	0	0	0	0	0	0
ASV_204	0	0	65	9	0	0	0	0	0	0	0	0
ASV_205	0	0	0	0	0	0	0	0	72	0	0	0
ASV_206	0	0	0	0	0	0	0	0	51	0	20	0
ASV_207	0	0	0	0	0	3	0	11	55	0	0	0
ASV_208	0	2	0	0	0	0	0	11	52	0	0	0
ASV_209	0	0	0	0	0	0	0	0	65	0	0	0
ASV_210	0	0	0	0	0	0	0	0	58	0	0	0
